Instance;mean my-heuristic;median my-heuristic;mean cs2sar;median cs2sar;p-value less;p-value greater;holm less;holm greater
gil262_n2610_uncorr_03.ttp;202086.9;202087;204367;204367;1.21408736623774e-05;0.999991712889955;0.00154189095512193;1
gil262_n2610_uncorr_07.ttp;278321;278321;277674.9;277675;0.999991712889955;1.21408736623774e-05;1;0.00155403182878431
gil262_n783_bounded-strongly-corr_03.ttp;105574;105574;105507;105507;0.999994649172805;7.96895584403313e-06;1;0.00105190217141237
gil262_n783_bounded-strongly-corr_07.ttp;128883;128883;136582;136582;7.96895584403313e-06;0.999994649172805;0.00105190217141237;1
gil262_n783_uncorr-similar-weights_03.ttp;41270;41270;41107;41107;0.999994649172805;7.96895584403313e-06;1;0.00105190217141237
gil262_n783_uncorr-similar-weights_07.ttp;59592;59592;59687;59687;7.96895584403313e-06;0.999994649172805;0.00105190217141237;1
gil262_n783_uncorr_03.ttp;60596;60596;60358;60358;0.999994649172805;7.96895584403313e-06;1;0.00105190217141237
gil262_n783_uncorr_07.ttp;75039;75039;76562;76562;7.96895584403313e-06;0.999994649172805;0.00105190217141237;1
kroC100_n297_bounded-strongly-corr_03.ttp;44567.5;45223;45223;45223;0.0174215200316976;0.986735945138616;1;1
kroC100_n297_bounded-strongly-corr_07.ttp;55394.3;55395;55395;55395;0.18406012534676;0.864333939053617;1;1
kroC100_n297_uncorr-similar-weights_03.ttp;21155.1;21402;21402;21402;0.038357988393803;0.970763875432946;1;1
kroC100_n297_uncorr-similar-weights_07.ttp;32386.3;32622;32622;32622;0.18406012534676;0.864333939053617;1;1
kroC100_n297_uncorr_03.ttp;24407;24401;24401;24401;0.864333939053617;0.18406012534676;1;1
kroC100_n297_uncorr_07.ttp;41133.5;41723;41526.5;41723;0.150278771699777;0.873731923180598;1;1
kroC100_n990_bounded-strongly-corr_03.ttp;141243.6;144749.5;144738.2;144758.5;0.259947258177968;0.763995721166947;1;1
kroC100_n990_bounded-strongly-corr_07.ttp;194692.9;194693;194693;194693;0.18406012534676;0.864333939053617;1;1
kroC100_n990_uncorr-similar-weights_03.ttp;61616;61616;61616;61616;1;1;1;1
kroC100_n990_uncorr-similar-weights_07.ttp;96525;96525;96525;96525;1;1;1;1
kroC100_n990_uncorr_03.ttp;78705;78705;78705;78705;1;1;1;1
kroC100_n990_uncorr_07.ttp;124526.3;124723;124723;124723;0.18406012534676;0.864333939053617;1;1
nrw1379_n13780_bounded-strongly-corr_03.ttp;1695449.1;1695448;1677013.5;1695446;0.674987685046949;0.352675686031752;1;1
nrw1379_n13780_bounded-strongly-corr_07.ttp;2519046.6;2519050.5;2508056.55555556;2518996;0.99965236435082;0.000466953906878061;1;0.0490301602221964
nrw1379_n13780_uncorr-similar-weights_03.ttp;771656.7;771655.5;765378.7;771652.5;0.977785680077076;0.0265458616658911;1;1
nrw1379_n13780_uncorr-similar-weights_07.ttp;1206765;1206841;1197480.2;1206075.5;0.999862642482989;0.000183843059840295;1;0.0196712074029116
nrw1379_n13780_uncorr_03.ttp;1138099;1138430;1129651;1137565.5;0.999783444856484;0.000287264448533888;1;0.0304500315445921
nrw1379_n13780_uncorr_07.ttp;1542424.3;1542425;1542421.55555556;1542422;0.941715950361022;0.0685409872105603;1;1
