"","Instance","mean","median"
"93","pcb442_n4410_uncorr-similar-weights_03.ttp",303764.5,312676.5
"94","pcb442_n4410_uncorr-similar-weights_07.ttp",518810.2,531444
"95","pcb442_n4410_uncorr_03.ttp",463695.6,463696
"96","pcb442_n4410_uncorr_07.ttp",628632.2,632743
"97","pla85900_n257697_bounded-strongly-corr_03.ttp",30392472.7,30375902.5
"98","pla85900_n257697_bounded-strongly-corr_07.ttp",46935794.5,46933294
"99","pla85900_n257697_uncorr-similar-weights_03.ttp",13473941.8,13481205
"100","pla85900_n257697_uncorr-similar-weights_07.ttp",23880595.7,23883521
"101","pla85900_n257697_uncorr_03.ttp",23118732.5,23111666
"102","pla85900_n257697_uncorr_07.ttp",31166518.4,31168868
"103","pla85900_n858990_bounded-strongly-corr_03.ttp",95937032.2,95822657.5
"104","pla85900_n858990_bounded-strongly-corr_07.ttp",151291357.9,151262593
"105","pla85900_n858990_uncorr-similar-weights_03.ttp",48665201,48665201
"106","pla85900_n858990_uncorr-similar-weights_07.ttp",82385748.8,82398242
"107","pla85900_n858990_uncorr_03.ttp",75260404,75268816
"108","pla85900_n858990_uncorr_07.ttp",105335024,105335024
"109","rl5934_n17799_bounded-strongly-corr_03.ttp",2546218.8,2543707.5
"110","rl5934_n17799_bounded-strongly-corr_07.ttp",3990199.3,3962694
"111","rl5934_n17799_uncorr-similar-weights_03.ttp",1230166.3,1241542
"112","rl5934_n17799_uncorr-similar-weights_07.ttp",1975322.8,1956373.5
"113","rl5934_n17799_uncorr_03.ttp",1743686.1,1732383
"114","rl5934_n17799_uncorr_07.ttp",2428453.4,2438016.5
"115","rl5934_n59330_bounded-strongly-corr_03.ttp",8541751.6,8534172.5
"116","rl5934_n59330_bounded-strongly-corr_07.ttp",13159051.3,13211589
"117","rl5934_n59330_uncorr-similar-weights_03.ttp",3970719.5,4012665.5
"118","rl5934_n59330_uncorr-similar-weights_07.ttp",6530041.3,6530038.5
"119","rl5934_n59330_uncorr_03.ttp",5847992.3,5879479
"120","rl5934_n59330_uncorr_07.ttp",8096510.3,8162368.5
"121","u159_n1580_bounded-strongly-corr_03.ttp",189585.2,189585.5
"122","u159_n1580_bounded-strongly-corr_07.ttp",310146.9,310147
"123","u159_n1580_uncorr-similar-weights_03.ttp",92969,92969
"124","u159_n1580_uncorr-similar-weights_07.ttp",161560.9,161561
"125","u159_n1580_uncorr_03.ttp",153849.8,153850
"126","u159_n1580_uncorr_07.ttp",196795.9,196796
"127","u159_n474_bounded-strongly-corr_03.ttp",58202.5,58202.5
"128","u159_n474_bounded-strongly-corr_07.ttp",101878,101878
"129","u159_n474_uncorr-similar-weights_03.ttp",32430,32430
"130","u159_n474_uncorr-similar-weights_07.ttp",47371,47371
"131","u159_n474_uncorr_03.ttp",45214,45214
"132","u159_n474_uncorr_07.ttp",60786,60786
